#version: NiftyLibrary
#If you change this file, it will not be automatically updated after the next release.
#enchantment,id
ARROW_DAMAGE,48
arrowdmg,48
arrdmg,48
power,48
ARROW_FIRE,50
arrfire,50
flame,50
ARROW_INFINITE,51
arrowinf,51
infarrow,51
arrinfinite,51
infinitearrow,51
arrinf,51
infarr,51
infinite,51
infinity,51
ARROW_KNOCKBACK,49
arrowknock,49
arrknock,49
punch,49
DAMAGE_ALL,16
dmgall,16
damage,16
dmg,16
sharpness,16
sharp,16
DAMAGE_ARTHROPODS,18
dmgarthropods,18
arthropods,18
DAMAGE_UNDEAD,17
dmgundead,17
undead,17
smite,17
DEPTH_STRIDER,8
dstrider,8
strider,8
DIG_SPEED,32
dspeed,32
dig,32
speed,32
efficiency,32
DURABILITY,34
dura,34
unbreaking,34
FIRE_ASPECT,20
faspect,20
aspect,20
KNOCKBACK,19
knock,19
LOOT_BONUS_BLOCKS,35
lootbonusb,35
lootbb,35
lbb,35
lootbblocks,35
lbblocks,35
lootblocks,35
fortune,35
LOOT_BONUS_MOBS,21
lootbonusm,21
lootbm,21
lbm,21
lootbmobs,21
lbmobs,21
lootmobs,21
looting,21
mobloot,21
LUCK,61
lucky,61
LURE,62
luring,62
OXYGEN,5
oxy,5
o2,5
air,5
breathe,5
breath,5
respiration,5
PROTECTION_ENVIRONMENTAL,0
protectionenv,0
protenvrionmental,0
protenv,0
protection,0
protect,0
prot,0
environmental,0
env,0
PROTECTION_EXPLOSIONS,3
protectionexpl,3
protectionblast,3
protectexplosions,3
protectexpl,3
protectblast,3
protexplosions,3
protexpl,3
protblast,3
explosionsprotection,3
explprotection,3
blastprotection,3
explosionsprotect,3
explprotect,3
blastprotect,3
explosionsprot,3
explprot,3
blastprot,3
explosions,3
expl,3
blast,3
PROTECTION_FALL,2
protectionfall,2
protectfall,2
protfall,2
fallprotection,2
fallprotect,2
fallprot,2
fall,2
PROTECTION_FIRE,1
protectionfire,1
protectfire,1
protfire,1
fireprotection,1
fireprotect,1
fireprot,1
fire,1
PROTECTION_PROJECTILE,4
protectionproj,4
protectproj,4
protprojectile,4
protectprojectile,4
protproj,4
projectile,4
projprotect,4
projprot,4
proj,4
SILK_TOUCH,33
silk,33
silkt,33
touch,33
THORNS,7
thorn,7
highcrit,7
crit,7
WATER_WORKER,6
waterwork,6
waterwrk,6
wtrworker,6
wtrwork,6
wtrwrk,6
water,6
worker,6
aquaaffinity,6
aqua,6
